Entrada	Xénero complementario	Categoría	Sinónimos	Nota
sintonizar	  	 t i 		
sinuosamente	  	 av 		
sinuosidade	  	 f 		
sinuoso	 sinuosa 	 a 		
sinusite	  	 f 		
sinusoidal	  	 a 		
sinusoide	  	 f 		
sinxelamente	  	 av 		
sinxeleza	  	 f 		
sinxelo	 sinxela 	 a 		
sionismo	  	 m 		
sionista	  	 a s 		
sipaio	  	 m 		
sira	  	 f 		
siracusano	 siracusana 	 a s 		Siracusa (It)
sire	  	 m 		
sirena	  	 f 		aparato
sirenios	  	 mpl 		
sirga	  	 f 		cf xirgo
siringa	  	 f 		
siringo-	  	 pref 		gr 'tubo'
siringomielía	  	 f 		
sirinxe	  	 f 		
sirio	 siria 	 a s 		Siria (As)
siroco	  	 m 		
sirte	  	 f 		
sirventés	  	 m 		
sisal	  	 m 		planta
sismicidade	  	 f 		
sísmico	 sísmica 	 a 		
sismo	  	 m 		
sismo-	  	 pref 		gr 'sismo'
sismografía	  	 f 		
sismográfico	 sismográfica 	 a 		
sismógrafo	  	 m 		
sismograma	  	 m 		
sismólogo	 sismóloga 	 s 		
sismoloxía	  	 f 		
sismoterapia	  	 f 		
siso	  	 m 		
sistema	  	 m 		
sistemática	  	 f 		
sistematicamente	  	 av 		
sistemático	 sistemática 	 a 		
sistematización	  	 f 		
sistematizar	  	 t 		
sistémica	  	 f 		
sistémico	 sistémica 	 a 		
sístilo	  	 m 		
sístole	  	 f 		
sistólico	 sistólica 	 a 		
sistro	  	 m 		
sisudamente	  	 av 		
sisudo	 sisuda 	 a 		
sitial	  	 m 		
sitio1	  	 m 		
sito	 sita 	 a 		
sito-	  	 pref 		gr 'alimento'
sitoloxía	  	 f 		
sitosterol	  	 m 		
situación	  	 f 		
situar	  	 t pr 		
síux	  	 a s 		
sixilado	 sixilada 	 a 		
sixilaria	  	 f 		
sixilo	  	 m 		
sixilografía	  	 f 		
sixilográfico	 sixilográfica 	 a 		
sixilógrafo	 sixilógrafa 	 s 		
skai	  	 m 		
sketch	  	 m 		ing
skípper	  	 m 		ing
slálom	  	 m 		nor
slogan	  	 m 		ing
smash	  	 m 		ing
smóking	  	 m 		ing
snob	  	 m 		ing
snobismo	  	 m 		
so	  	 pp 		
só1	 soa 	 a 		
só2	  	 av 		
so-	  	 pref 		
soá	  	 f 		
soado	 soada 	 pt a 		
soamente	  	 av 		
soán	  	 am m 		
soante	  	 a f 		
soar1	  	 i 		
soar2	  	 m 		cast 'solar'
soarego	  	 m 		
soaxe	  	 f 		
soba	  	 f 		
sobar	  	 t 		
sobeira	  	 f 		
soberanamente	  	 av 		
soberanía	  	 f 		
soberano	 soberana 	 a s 		
soberbia	  	 f 		
soberbiamente	  	 av 		
soberbio	 soberbia 	 a 		
soberbiosamente	  	 av 		
soberbioso	 soberbiosa 	 a 		
sobexo	 sobexa 	 a 		
sobordar	  	 i 		
sobra	  	 f 		
sobra,de	  	 lav 		
sobradamente	  	 av 		
sobradés	 sobradesa 	 a s 		Sobrado dos Monxes
sobrado2	 sobrada 	 a 		
sobrado1	  	 m 		
sobranceiro	 sobranceira 	 a 		
sobrante	  	 a m 		
sobrar	  	 i 		
sobrasada	  	 f 		
sobrasar	  	 t 		
sobre2	  	 m 		
sobre1	  	 pp 		
sobrede	  	 lpp 		
sobre-	  	 pref 		
sobreagudo	 sobreaguda 	 a 		
sobrealimentación	  	 f 		
sobrealimentar	  	 t 		
sobrecama	  	 f 		
sobrecarga	  	 s 		m e f
sobrecargado	 sobrecargada 	 pt a 		
sobrecargar	  	 t 		
sobrecea	  	 f 		
sobrecear	  	 t 		
sobrecella	  	 f 		
sobreclaustro	  	 m 		
sobrecompresión	  	 f 		
sobrecú	  	 m 		
sobrecuberta	  	 f 		
sobredito	 sobredita 	 a 		
sobredose	  	 f 		
sobredourar	  	 t 		
sobreeixe	  	 m 		
sobreelevar	  	 t 		
sobreemprego	  	 m 		
sobreentender	  	 t 		
sobreestimación	  	 f 		
sobreestimar	  	 t pr 		
sobreexcitación	  	 f 		
sobreexcitar	  	 t pr 		
sobreexposición	  	 f 		
sobreexposto	 sobreexposta 	 pt a 		
sobrehumano	 sobrehumana 	 a 		
sobreimpresión	  	 f 		
sobreira	  	 f 		
sobreiral	  	 m 		
sobreleito	  	 m 		
sobrelume	  	 m 		
sobremango	  	 m 		
sobremesa	  	 f 		
sobrenadar	  	 i 		
sobrenatural	  	 a 		
sobrenaturalismo	  	 m 		
sobrenaturalmente	  	 av 		
sobrenome	  	 m 		
sobrenomear	  	 t 		
sobreoso	  	 m 		
sobrepaga	  	 f 		
sobreparto	  	 m 		
sobrepeliz	  	 f 		
sobrepena	  	 f 		
sobreporta	  	 f 		
sobreposto	 sobreposta 	 pt a 		
sobreprezo	  	 m 		
sobreprima	  	 f 		
sobreprodución	  	 f 		
sobrequilla	  	 f 		
sobrerrella	  	 f 		
sobresaír	  	 i 		
sobresaltar	  	 t pr 		
sobresalto	  	 m 		
sobresaturación	  	 f 		
sobresaturar	  	 t 		
sobrescribir	  	 t 		
sobrescrito	 sobrescrita 	 pt m 		
sobresemento	  	 m 		
sobreser	  	 t 		conx como ler
sobresó	  	 m 		
sobresoldo	  	 m 		
sobretaxa	  	 f 		
sobretensión	  	 f 		
sobrevaloración	  	 f 		
sobrevalorar	  	 t 		
sobrevir	  	 i 		
sobrevivente	  	 a s 		
sobrevivir	  	 i 		
sobrevoar	  	 t 		
sobrevoltaxe	  	 f 		
sobrevoo	  	 m 		
sobriamente	  	 av 		
sobriedade	  	 f 		
sobrigo	  	 m 		
sobriño	 sobriña 	 s 		
sobrio	 sobria 	 a 		
sobro	 sobra 	 a 		
socairo	  	 m 		
socalcar	  	 t 		
socalco	  	 m 		
socavar	  	 t 		
sochantre	  	 m 		
socheo	  	 m 		
sociabilidade	  	 f 		
social	  	 a 		
socialdemocracia	  	 f 		
socialdemócrata	  	 a s 		
socialismo	  	 m 		
socialista	  	 a s 		
socialización	  	 f 		
socializar	  	 t 		
socialmente	  	 av 		
sociedade	  	 f 		
sociniamismo	  	 m 		
sociniano	 sociniana 	 a 		
socio	 socia 	 s 		
socio-	  	 pref 		sociedade
sociocultural	  	 a 		
socioeconómico	 socioeconómica 	 a 		
sociograma	  	 m 		
sociolingüista	  	 s 		
sociolingüística	  	 f 		
sociolingüístico	 sociolingüística 	 a 		
sociólogo	 socióloga 	 a s 		
socioloxía	  	 f 		
socioloxicamente	  	 av 		
sociolóxico	 sociolóxica 	 a 		
sociometría	  	 f 		
sociométrico	 sociométrica 	 a 		
socioterapia	  	 f 		
socómaro	  	 m 		
socorrer	  	 t 		
socorrismo	  	 m 		
socorrista	  	 s 		
socorro	  	 m ix 		
socraticamente	  	 av 		
socrático	 socrática 	 a 		
soda	  	 f 		
sódico	 sódica 	 a 		
sodio	  	 m 		
sodomía	  	 f 		
sodomita	  	 s 		
sodomítico	 sodomítica 	 a 		
sodomizar	  	 t 		
soerguer	  	 t pr 		
sofá	  	 m 		
soficar	  	 t 		
sofico	  	 m 		
sofisma	  	 m 		
sofista	  	 s 		
sofística	  	 f 		
sofisticación	  	 f 		
sofisticado	 sofisticada 	 pt a 		
sofisticar	  	 t i pr 		
sofístico	 sofística 	 a 		
sofito	  	 m 		
sófora	  	 f 		
sofraxe	  	 f 		
sofroloxía	  	 f 		
soga	  	 f 		
sogro	 sogra 	 s 		
soia	  	 f 		cast 'soja'
soidade	  	 f 		
soidoso	 soidosa 	 a 		
sol1	  	 m 		
sol2	  	 m 		 musical
sol3	  	 m 		química
sola	  	 f 		
solada	  	 f 		sol1
solaina	  	 f 		
solanáceas	  	 fpl 		
solapa	  	 f 		
solapamento	  	 m 		
solapar	  	 t 		
solar2	  	 a 		sol
solar3	  	 t 		
solarímetro	  	 m 		
solario	  	 m 		
solarización	  	 f 		
solaz	  	 m 		
solda1	  	 f 		carbunco
solda2	  	 f 		planta
soldada	  	 f 		
soldadeira	  	 f 		
soldadesco	 soldadesca 	 a 		
soldado1	  	 m 		
soldado2	 soldada 	 a 		
soldador	 soldadora 	 s 		
soldadura	  	 f 		
soldanela	  	 f 		
soldar	  	 t i 		
soldo	  	 m 		
soleada	  	 f 		
solecismo	  	 m 		
soleira	  	 f 		
solemne	  	 a 		
solemnemente	  	 av 		
solemnidade	  	 f 		
solénidos	  	 mpl 		
solenoide	  	 m 		
solerma	  	 f 		
solermeiro	 solermeira 	 a 		
soles	  	 fpl 		
soleta	  	 f 		cast 'plantilla' (do zapato)
solfa	  	 f 		
solfatara	  	 f 		
solfexar	  	 t 		
solfexo	  	 m 		
solicitación	  	 f 		
solicitamente	  	 av 		
solicitante	  	 s 		
solicitar	  	 t 		
solícito	 solícita 	 a 		
solicitude	  	 f 		
solidamente	  	 av 		
solidariamente	  	 av 		
solidariedade	  	 f 		
solidario	 solidaria 	 a 		
solidarizar	  	 pr 		
solideo	  	 m 		
solidez	  	 f 		
solidificación	  	 f 		
solidificar	  	 t pr 		
sólido	 sólida 	 a m 		
solifluxión	  	 f 		
soliloquio	  	 m 		
solimán	  	 m 		
solio	  	 m 		
solípede	  	 a m 		
solipsismo	  	 m 		
solipsista	  	 a s 		
solista	  	 s 		
solitariamente	  	 av 		
solitario	 solitaria 	 a s 		
solla	  	 f 		
sollado	  	 m 		
sollar	  	 t 		
solleira	  	 f 		solla
solleirada	  	 f 		
solleiro	 solleira 	 a s 		
sollío	 sollía 	 a 		
sollo1	  	 m 		peixe
sollo2	  	 m 		do carro etc
solo2	  	 m 		música
solo1	  	 m 		terreo
solombo	  	 m 		
solpor	  	 m 		
solsticial	  	 a 		
solsticio	  	 m 		
solta	  	 f 		
soltadoiro	  	 m 		
soltamente	  	 av 		
soltar	  	 t pr 		
solteiro	 solteira 	 a s 		
solteirón	 solteirona 	 a s 		
solto	 solta 	 a m 		
soltura	  	 f 		
solubilidade	  	 f 		
solubilización	  	 f 		
solubilizar	  	 t 		
solución	  	 f 		
solucionar	  	 t 		
solutreano	 solutreana 	 a m 		
solvencia	  	 f 		
solvente	  	 a 		
solvólise	  	 f 		
soma2	  	 m 		corpo
somación	  	 f 		
somalí	  	 a s 		Somalia (Áf)
somar	  	 t 		a terra
somático	 somática 	 a 		
somatización	  	 f 		
somato-	  	 pref 		gr 'corpo'
somatotropina	  	 f 		
somatótropo	 somatótropa 	 a 		
sombra	  	 f 		
sombreado	  	 m 		
sombrear	  	 t 		
sombreireiro	 sombreireira 	 s 		
sombreiro	  	 m 		
sombriamente	  	 av 		
sombrío	 sombría 	 a 		
sombrizo	 sombriza 	 a 		
somerxer	  	 t pr 		
sometemento	  	 m 		
someter	  	 t pr 		
somier	  	 m 		
somnambulismo	  	 m 		
somnámbulo	 somnámbula 	 a s 		
somnífero	 somnífera 	 a m 		
somnolencia	  	 f 		
somnolento	 somnolenta 	 a 		
somorgullo	  	 m 		
son	  	 m 		
sonde,a	  	 lpp 		
son,a	  	 lav 		
sona	  	 f 		
sonada	  	 f 		sono
soñador	 soñadora 	 a s 		
soñar	  	 t i 		
sonar	  	 m 		
sonata	  	 f 		
sonatina	  	 f 		
sonda	  	 f 		
sondar	  	 t 		
sondaxe	  	 f 		
sonear	  	 i 		
soneca	  	 f 		
sonetista	  	 s 		
soneto	  	 m 		
sónico	 sónica 	 a 		
soño	  	 m 		
sono	  	 m 		
sono-	  	 pref 		lat 'son'
sonómetro	  	 m 		
sonoridade	  	 f 		
sonorización	  	 f 		
sonorizar	  	 t i 		
sonoro	 sonora 	 a 		
sopa	  	 f 		
sopapo	  	 m 		
sopeira	  	 f 		
sopeiro	 sopeira 	 a 		
sopena	  	 f 		
sopesar	  	 t 		
sopexar	  	 t 		
sopexo	  	 m 		
sopor	  	 m 		
soporífero	 soporífera 	 a m 		
soportal	  	 m 		
soportar	  	 t 		
soporte	  	 m 		
soprador	 sopradora 	 s 		
sopramocos	  	 m 		
sopranista	  	 m 		
soprano	  	 s 		
soprar	  	 t i 		
soprete	  	 m 		
soprido	  	 m 		
sopro	  	 m 		
soprón	  	 m 		
sor	  	 f 		
sorba	  	 f 		
sorbedoiro	  	 m 		
sorbeira	  	 f 		
sorber	  	 t 		
sorbete	  	 m 		
sorbitol	  	 m 		
sorbo	  	 m 		
sorción	  	 f 		
sordidamente	  	 av 		
sordidez	  	 f 		
sórdido	 sórdida 	 a 		
sordina	  	 f 		
sorgo	  	 m 		
soriano	 soriana 	 a s 		Soria
sorícidos	  	 mpl 		
sorites	  	 m 		
sorna	  	 f 		
sornear	  	 i 		
sórneas	  	 s 		
soro	  	 m 		
sororal	  	 a 		
sorprendente	  	 a 		
sorprendentemente	  	 av 		
sorprender	  	 t pr 		
sorpresa	  	 f 		
sorrellar	  	 t 		
sorrir	  	 i 		
sorriso	  	 m 		
sorte	  	 f 		
sortear	  	 t 		
sorteiro	 sorteira 	 s 		
sortella	  	 f 		
sorteo	  	 m 		
sortilexio	  	 m 		
sosa	  	 f 		
sosegadamente	  	 av 		
sosegado	 sosegada 	 pt a 		
sosegar	  	 t i pr 		
sosego	  	 m 		
sosia	  	 m 		
sospeita	  	 f 		
sospeitar	  	 t i 		
sospeitosamente	  	 av 		
sospeitoso	 sospeitosa 	 a s 		
sostemento	  	 m 		
soster	  	 t pr 		
sostido	 sostida 	 pt a 		
sota	  	 f 		
sotana	  	 f 		
sotavento	  	 m 		
soterioloxía	  	 f 		
soterramento	  	 m 		
soterrar	  	 t 		
soto	  	 m 		
sotobosque	  	 m 		
soutar	  	 t 		
souteiro	 souteira 	 s 		
souto	  	 m 		
soviet	  	 m 		ruso 'consello'
soviético	 soviética 	 a s 		
sovietización	  	 f 		
sovietizar	  	 t pr 		
spin	  	 m 		ing
spray	  	 m 		ing
sprint	  	 m 		ing
spútnik	  	 m 		rus ['sputnik]
squash	  	 m 		ing
srilankés	 srilankesa 	 a s 		Sri Lanka (As)
stakhanovismo	  	 m 		
stakhanovista	  	 a s 		
stalinismo	  	 m 		
stalinista	  	 a s 		
stárter	  	 m 		ing ['starter]
statuquo	  	 ls 		lat
status	  	 m 		
stick	  	 m 		ing
stilb	  	 m 		ing
stock	  	 m 		ing
stop	  	 m 		ing
stradivarius	  	 m 		
strictosensu	  	 lav 		lat
striptease	  	 m 		ing
súa	  	 f 		suar
suadoiro	  	 m 		
suahili	  	 a s 		
suar	  	 i 		
suave	  	 a 		
suavemente	  	 av 		
suavidade	  	 f 		
suavizante	  	 a m 		
suavizar	  	 t 		
sub-	  	 pref 		lat 'baixo'
suba	  	 f 		
subacuático	 subacuática 	 a 		
subaéreo	 subaérea 	 a 		
subagudo	 subaguda 	 a 		
subalpino	 subalpina 	 a s 		Sur dos Alpes (Eu)
subalterno	 subalterna 	 a s 		
subantártico	 subantártica 	 a s 		
subarrendamento	  	 m 		
subarrendar	  	 t 		
subártico	 subártica 	 a s 		
subatómico	 subatómica 	 a 		
subclase	  	 f 		
subclavio	 subclavia 	 a 		
subcomisión	  	 f 		
subconsciencia	  	 f 		
subconsciente	  	 a m 		
subconxunto	  	 m 		
subcutáneo	 subcutánea 	 a 		
subdelegado	 subdelegada 	 a s 		
subdesenvolvemento	  	 m 		
subdesenvolvido	 subdesenvolvida 	 a 		
subdesértico	 subdesértica 	 a 		
subdiaconado	  	 m 		
subdiácono	  	 m 		
subdialecto	  	 m 		
subdirección	  	 f 		
subdirector	 subdirectora 	 s 		
súbdito	 súbdita 	 s 		
subdividir	  	 t pr 		
subdivisión	  	 f 		
subdominante	  	 f 		
subecuatorial	  	 a 		
subela	  	 f 		
subemprego	  	 m 		
suberina	  	 f 		
suberización	  	 f 		
suberoso	 suberosa 	 a 		
subespecie	  	 f 		
subestación	  	 f 		
subestimar	  	 t pr 		
subexposición	  	 f 		
subexposto	 subexposta 	 pt a 		
subfamilia	  	 f 		
subfebril	  	 a 		
subfusil	  	 m 		
subgrupo	  	 m 		
subida	  	 f 		
subideiro	 subideira 	 a 		
subidoiro	  	 m 		
subidor	  	 m 		
subíndice	  	 m 		
subinspector	 subinspectora 	 s 		
subintendencia	  	 f 		
subintendente	  	 s 		
subiote	  	 m 		
subir	  	 t i pr 		
subitamente	  	 av 		
súbito	 súbita 	 a 		
sublevación	  	 f 		
sublevar	  	 t pr 		
sublimación	  	 f 		
sublimado	 sublimada 	 a m 		
sublimar	  	 t 		
sublime	  	 a 		
subliminar	  	 a 		
subliñado	  	 m 		
subliñar	  	 t 		
sublingual	  	 a 		
sublitoral	  	 a 		
sublunar	  	 a 		
submarinismo	  	 m 		
submarinista	  	 s 		
submarino	 submarina 	 a m 		
submaxilar	  	 a 		[ks]
submersión	  	 f 		
subministración	  	 f 		
subministrador	 subministradora 	 a s 		
subministrar	  	 t 		
submisamente	  	 av 		
submisión	  	 f 		
submiso	 submisa 	 a 		
submúltiplo	 submúltipla 	 a m 		
subnormal	  	 a s 		
subnormalidade	  	 f 		
suboccipital	  	 a 		
suboficial	  	 m 		
suborbital	  	 a 		
suborde	  	 f 		
subordinación	  	 f 		
subordinadamente	  	 av 		
subordinado	 subordinada 	 a s 		
subordinante	  	 a 		
subordinar	  	 t pr 		
subornador	 subornadora 	 s 		
subornar	  	 t 		
suborno	  	 m 		
subprefecto	  	 m 		
subprefectura	  	 f 		
subproduto	  	 m 		
subreino	  	 m 		
subrepción	  	 f 		
subrepticiamente	  	 av 		
subrepticio	 subrepticia 	 a 		
subrogación	  	 f 		
subrogar	  	 t 		
subrogatorio	 subrogatoria 	 a 		
subrutina	  	 f 		
subsahariano	 subsahariana 	 a s 		
subscribir	  	 t pr 		
subscrición	  	 f 		
subscrito	 subscrita 	 pt a 		
subscritor	 subscritora 	 s 		
subsección	  	 f 		
subsecretaría	  	 f 		
subsecretario	 subsecretaria 	 s 		
subsecuente	  	 a 		
subsecuentemente	  	 av 		
subseguir	  	 t 		
subsésil	  	 a 		
subsidencia	  	 f 		
subsidiar	  	 t 		
subsidiariamente	  	 av 		
subsidiario	 subsidiaria 	 a 		
subsidio	  	 m 		
subsistema	  	 m 		
subsistencia	  	 f 		
subsistente	  	 a 		
subsistir	  	 i 		
subsolador	  	 m 		
subsolar	  	 t 		
subsolo	  	 m 		
subsónico	 subsónica 	 a 		
substancia	  	 f 		
substancial	  	 a 		
substancialidade	  	 f 		
substancialismo	  	 m 		
substancialista	  	 a s 		
substancialmente	  	 av 		
substancioso	 substanciosa 	 a 		
substantivación	  	 f 		
substantivamente	  	 av 		
substantivar	  	 t 		
substantivo	 substantiva 	 a m 		
substitución	  	 f 		
substituír	  	 t 		
substitutivo	 substitutiva 	 a 		
substituto	 substituta 	 s 		
substrato	  	 m 		
subsumir	  	 t 		
subtanxente	  	 f 		
subtender	  	 t 		
subtenente	  	 m 		
subterfuxio	  	 m 		
subterráneo	 subterránea 	 a m 		
subtipo	  	 m 		
subtitular	  	 t 		
subtítulo	  	 m 		
subtracción	  	 f 		
subtractivo	 subtractiva 	 a 		
subtraendo	  	 m 		
subtraer	  	 t pr 		
subtropical	  	 a 		
subulado	 subulada 	 a 		
suburbano	 suburbana 	 a 		
suburbial	  	 a 		
suburbicario	 suburbicaria 	 a 		
suburbio	  	 m 		
subvención	  	 f 		
subvencionar	  	 t 		
subversión	  	 f 		
subversivo	 subversiva 	 a s 		
subversor	 subversora 	 a s 		
subverter	  	 t 		
subxacente	  	 a 		
subxección	  	 f 		
subxectivamente	  	 av 		
subxectivar	  	 t 		
subxectividade	  	 f 		
subxectivismo	  	 m 		
subxectivista	  	 a s 		
subxectivo	 subxectiva 	 a 		
subxefe	 subxefa 	 s 		
subxénero	  	 m 		
subxugante	  	 a 		
subxugar	  	 t 		
subxuntivo	 subxuntiva 	 a m 		
sucada	  	 f 		
succión	  	 f 		
succionar	  	 t 		
sucedáneo	 sucedánea 	 a m 		
suceder	  	 t i pr 		
sucedido	  	 m 		
sucesión	  	 f 		
sucesivamente	  	 av 		
sucesivo	 sucesiva 	 a 		
suceso	  	 m 		
sucesor	 sucesora 	 a s 		
sucesorio	 sucesoria 	 a 		
sucidade	  	 f 		
sucintamente	  	 av 		
sucinto	 sucinta 	 a 		
sucio	 sucia 	 a 		
suco	  	 m 		
sucreño	 sucreña 	 a s 		Sucre (Bolivia)
suctorios	  	 mpl 		
súcubo	  	 m 		
suculencia	  	 f 		
suculento	 suculenta 	 a 		
sucumbir	  	 i 		
sucursal	  	 a f 		
sucursalismo	  	 m 		
sucursalista	  	 a s 		
sudación	  	 f 		
sudámina	  	 f 		
sudanés	 sudanesa 	 a s 		Sudán (Áf)
sudario	  	 m 		
sudatorio	 sudatoria 	 a 		
sudoral	  	 a 		
sudorífero	 sudorífera 	 a 		
sudorífico	 sudorífica 	 a m 		
sudoríparo	 sudorípara 	 a 		
sueco	 sueca 	 a s 		Suecia (Eu)
sueste	  	 m 		
suevo	 sueva 	 a s 		ant Suevia/Xermania/Gallaecia
sufete	  	 m 		
sufí	  	 m 		
suficiencia	  	 f 		
suficiente	  	 a m 		
suficientemente	  	 av 		
sufismo	  	 m 		
sufixación	  	 f 		[ks]
sufixal	  	 a 		[ks]
sufixar	  	 t 		[ks]
sufixo	  	 m 		[ks]
sufocación	  	 f 		
sufocante	  	 a 		
sufocar	  	 t pr 		
sufragáneo	 sufragánea 	 a 		
sufragar	  	 t 		
sufraxio	  	 m 		
sufraxismo	  	 m 		
sufraxista	  	 a s 		
sufridamente	  	 av 		
sufrideira	  	 f 		
sufrido	 sufrida 	 pt a 		
sufridor	 sufridora 	 a s 		
sufrimento	  	 m 		
sufrir	  	 t i 		
sufumigación	  	 f 		
sufumigar	  	 t 		
sufusión	  	 f 		
suigeneris	  	 lav 		lat
suicida	  	 a s 		
suicidar	  	 pr 		
suicidio	  	 m 		
súidos	  	 mpl 		
suíño	 suíña 	 a s 		
suite	  	 f 		
suízo	 suíza 	 a s 		Suíza (Eu)
sulfamida	  	 f 		
sulfatación	  	 f 		
sulfatador	 sulfatadora 	 a s 		
sulfatadura	  	 f 		
sulfatar	  	 t 		
sulfato	  	 m 		
sulfhidrato	  	 m 		
sulfhídrico	 sulfhídrica 	 a 		
sulfitación	  	 f 		
sulfitar	  	 t 		
sulfito	  	 m 		
sulfo-	  	 pref 		xofre
sulfohemoglobina	  	 f 		
sulfona	  	 f 		
sulfonación	  	 f 		
sulfonal	  	 m 		
sulfónico	 sulfónica 	 a 		
sulfuración	  	 f 		
sulfurado	 sulfurada 	 a 		
sulfurar	  	 t pr 		
sulfúreo	 sulfúrea 	 a 		
sulfúrico	 sulfúrica 	 a 		
sulfuro	  	 m 		
sulfuroso	 sulfurosa 	 a 		
sultán	 sultá 	 m 		
sultanato	  	 m 		
suma	  	 f 		
sumamente	  	 av 		
sumando	  	 m 		
sumar	  	 t pr 		
sumarial	  	 a 		
sumariamente	  	 av 		
sumario	 sumaria 	 a m 		
sumarísimo	 sumarísima 	 a 		
sumerio	 sumeria 	 a s 		
sumicio	  	 m 		
sumido	  	 pt a 		
sumidoiro	  	 m 		
sumio	  	 m 		
sumir	  	 t pr 		
súmmum	  	 m 		lat
sumo2	  	 m 		loita
sumo1	 suma 	 a 		
sunción	  	 f 		
sunna	  	 f 		
sunnismo	  	 m 		
sunnita	  	 a s 		
suntuario	 suntuaria 	 a 		
suntuosamente	  	 av 		
suntuosidade	  	 f 		
suntuoso	 suntuosa 	 a 		
suor	  	 f 		
suorento	 suorenta 	 a 		
supedáneo	  	 m 		
supeditación	  	 f 		
supeditar	  	 t pr 		
súper	  	 a 		
super-	  	 pref 		lat 'sobre'
superabundancia	  	 f 		
superabundante	  	 a 		
superación	  	 f 		
superado	 superada 	 pt a 		
superar	  	 t pr 		
superávit	  	 m 		
supercarburante	  	 m 		
superciliar	  	 a 		
supercondutividade	  	 f 		
supercondutor	  	 m 		
superdotado	 superdotada 	 a 		
superego	  	 m 		
superestrato	  	 m 		
superestrutura	  	 f 		
superfemia	  	 f 		
superfetación	  	 f 		
superficial	  	 a 		
superficialidade	  	 f 		
superficialmente	  	 av 		
superficie	  	 f 		
superfino	 superfina 	 a 		
superfluamente	  	 av 		
superfluidade	  	 f 		
superfluidez	  	 f 		
superfluído	 superfluída 	 a m 		
superfluo	 superflua 	 a 		
superfosfato	  	 m 		
superheterodina	  	 f 		
superheterodino	 superheterodina 	 a 		
superhome	  	 m 		
superíndice	  	 m 		
superintendencia	  	 f 		
superintendente	  	 s 		
superior1	  	 a m 		
superior2	 superiora 	 s 		
superioridade	  	 f 		
superlativamente	  	 av 		
superlativo	 superlativa 	 a m 		
supermercado	  	 m 		
supernova	  	 f 		
supernumerario	 supernumeraria 	 a 		
supero-	  	 pref 		superior
superpetroleiro	  	 m 		
superpoboación	  	 f 		
superpoboado	 superpoboada 	 a 		
superposición	  	 f 		
superposto	 superposta 	 pt a 		
superpotencia	  	 f 		
superprodución	  	 f 		
superrealismo	  	 m 		
superrealista	  	 a s 		
supersónico	 supersónica 	 a 		
superstición	  	 f 		
supersticiosamente	  	 av 		
supersticioso	 supersticiosa 	 a 		
supérstite	  	 a 		
superumeral	  	 m 		
supervisar	  	 t 		
supervisión	  	 f 		
supervisor	 supervisora 	 a s 		
supervivencia	  	 f 		
supervivente	  	 a s 		
súpeto,de	  	 lav 		
supinación	  	 f 		
supinador	 supinadora 	 a m 		
supino	 supina 	 a m 		
suplantación	  	 f 		
suplantador	  	 a s 		
suplantar	  	 t 		
suplementar	  	 t 		
suplementariamente	  	 av 		
suplementario	 suplementaria 	 a 		
suplemento	  	 m 		
suplencia	  	 f 		
suplente	  	 a s 		
supletivismo	  	 m 		
supletivo	 supletiva 	 a 		
supletorio	 supletoria 	 a m 		
súplica	  	 f 		
suplicación	  	 f 		
suplicante	  	 a s 		
suplicar	  	 t 		
suplicatorio	 suplicatoria 	 a s 		
suplicio	  	 m 		
suplir	  	 t 		
suposición	  	 f 		
supositorio	  	 m 		
suposto	 suposta 	 pt a m 		
supra	  	 av 		lat
supra-	  	 pref 		lat 'sobre'
supradialectal	  	 a 		
supranacional	  	 a 		
suprarrenal	  	 a 		
suprasegmental	  	 a 		
supremacía	  	 f 		
supremo	 suprema 	 a m 		
supresión	  	 f 		
supresor	 supresora 	 a m 		
suprimir	  	 t 		
supuración	  	 f 		
supurante	  	 a 		
supurar	  	 i 		
supurativo	 supurativa 	 a m 		
sur	  	 m 		
sur-	  	 pref 		sur
sura	  	 f 		do Corán
surá	  	 f 		
surada	  	 f 		
surafricano	 surafricana 	 a s 		África do Sur
suramericano	 suramericana 	 a s 		América do Sur
surasiático	 surasiática 	 a s 		Sueste Asiático
surcoreano	 surcoreana 	 a s 		Corea do Sur (As)
surf	  	 m 		ing
surinamés	 surinamesa 	 a s 		Suriname (Am)
surista	  	 a s 		ant Estados Confederados do Sur (EUA)
suroeste	  	 m 		
surtirolés	 surtirolesa 	 a s 		Tirol Meridional (Eu)
susceptibilidade	  	 f 		
suscitar	  	 t 		
susodito	 susodita 	 a 		
suspender	  	 t pr 		
suspense	  	 m 		
suspensión	  	 f 		
suspensivo	 suspensiva 	 a 		
suspenso	 suspensa 	 a m 		
suspensor	 suspensora 	 a m 		
suspensorio	  	 m 		
suspicacia	  	 f 		
suspicaz	  	 a 		
suspicazmente	  	 av 		
suspirar	  	 i 		
suspiro	  	 m 		
sustancia	  	 f 		
sustentación	  	 f 		
sustentáculo	  	 m 		
sustentador	 sustentadora 	 a s 		
sustentar	  	 t pr 		
sustento	  	 m 		
susto	  	 m 		
sutil	  	 a 		
sutileza	  	 f 		
sutilizar	  	 t 		
sutilmente	  	 av 		
sutura	  	 f 		
suturar	  	 t 		
suxeición	  	 f 		
suxeitador	 suxeitadora 	 a m 		
suxeitar	  	 t pr 		
suxeito	 suxeita 	 a s 		
suxerir	  	 t 		
suxestión	  	 f 		
suxestionar	  	 t pr 		
suxestivo	 suxestiva 	 a 		
